channelNumb	JulianDay	PossibleDecayLength(MicroSeconds)	StartDecay	EndDecay	FirstSignalTimeOverThreshold(nanoseconds)	SecondSignalTimeoverThreshold(nanoseconds)	PossibleDecayNumber
6234.2	2458114	1.81000	0.5838034184047164	0.5838034184256655	25.01	16.25	1
6234.1	2458114	8.37249	0.5847747562952402	0.5847747563921440	23.74	16.25	1
6234.2	2458114	8.37374	0.5847747562953125	0.5847747563922308	21.25	13.76	1
6234.1	2458114	0.38624	0.5847777193316985	0.5847777193361690	13.75	22.50	1
6234.2	2458114	0.38749	0.5847777193317998	0.5847777193362846	21.24	13.76	1
6234.1	2458114	0.36625	0.5847777193319299	0.5847777193361690	8.76	22.50	1
6234.1	2458114	3.87001	0.5858376347620948	0.5858376348068866	7.50	10.00	1
6234.2	2458114	3.87000	0.5858376347621238	0.5858376348069154	7.50	11.25	1
6234.1	2458114	2.65749	0.5864625134528646	0.5864625134836225	17.50	22.50	1
6234.2	2458114	2.65750	0.5864625134530093	0.5864625134837673	18.75	11.24	1
6234.1	2458114	2.63374	0.5864625134531395	0.5864625134836225	10.00	22.50	1
6234.1	2458114	0.94375	0.5870396141372829	0.5870396141482059	20.00	13.76	1
6234.2	2458114	0.94126	0.5870396141373986	0.5870396141482928	15.01	21.26	1
6234.1	2458114	2.65625	0.5881726429876157	0.5881726430183594	21.25	11.24	1
6234.2	2458114	2.65500	0.5881726429876302	0.5881726430183594	20.00	20.00	1
6234.2	2458114	2.63001	0.5881726429879195	0.5881726430183594	8.75	20.00	1
6234.1	2458114	1.09500	0.5909786274130642	0.5909786274257378	13.76	16.25	1
6234.2	2458114	1.09625	0.5909786274132088	0.5909786274258969	13.76	15.00	1
6234.1	2458114	5.96500	0.5921896916095052	0.5921896916785445	18.75	11.25	1
6234.2	2458114	5.96500	0.5921896916095486	0.5921896916785879	21.26	10.00	1
6234.1	2458114	1.80374	0.5951384555091146	0.5951384555299912	13.75	25.01	1
6234.2	2458114	1.80624	0.5951384555092014	0.5951384555301070	22.49	16.25	1
6234.1	2458114	1.78500	0.5951384555093315	0.5951384555299912	10.00	25.01	1
6234.1	2458114	0.84500	0.5960352549556858	0.5960352549654658	20.00	13.75	1
6234.2	2458114	0.84624	0.5960352549558449	0.5960352549656394	17.50	12.50	1
6234.1	2458114	0.81875	0.5960352549559895	0.5960352549654658	8.76	13.75	1
6234.1	2458114	4.29750	0.5980929201591291	0.5980929202088686	18.75	15.00	1
6234.2	2458114	4.30000	0.5980929201592592	0.5980929202090277	21.26	12.50	1
6234.1	2458114	4.27250	0.5980929201594184	0.5980929202088686	10.00	15.00	1
6234.1	2458114	1.58749	0.5985020640347223	0.5985020640530960	13.75	5.00	1
6234.2	2458114	1.58750	0.5985020640347367	0.5985020640531106	20.00	7.49	1
6234.1	2458114	5.23750	0.5989433000265625	0.5989433000871817	20.00	11.25	1
6234.2	2458114	5.23875	0.5989433000266203	0.5989433000872540	20.00	8.75	1
6234.1	2458114	1.60249	0.5989974092291812	0.5989974092477286	12.50	16.24	1
6234.2	2458114	1.60501	0.5989974092291955	0.5989974092477720	15.00	17.49	1
6234.2	2458114	1.58376	0.5989974092294414	0.5989974092477720	8.76	17.49	1
6234.1	2458114	1.94500	0.5993375277480758	0.5993375277705874	23.75	11.24	1
6234.2	2458114	1.94876	0.5993375277482059	0.5993375277707610	26.25	10.00	1
6234.1	2458114	1.91750	0.5993375277483941	0.5993375277705874	11.25	11.24	1
6234.1	2458114	6.31250	0.6017097264575521	0.6017097265306134	18.74	18.74	1
6234.2	2458114	6.31376	0.6017097264575954	0.6017097265306712	22.51	20.00	1
6234.1	2458114	0.54000	0.6023227701063223	0.6023227701125723	23.75	21.26	1
6234.2	2458114	0.54125	0.6023227701064091	0.6023227701126735	20.00	15.00	1
6234.1	2458114	0.90249	0.6053897110145110	0.6053897110249565	15.00	20.00	1
6234.2	2458114	0.90126	0.6053897110146267	0.6053897110250579	20.00	16.24	1
6234.1	2458114	0.88124	0.6053897110147570	0.6053897110249565	8.74	20.00	1
6234.1	2458114	0.70249	0.6074013541135707	0.6074013541217014	16.24	18.75	1
6234.2	2458114	0.70250	0.6074013541136718	0.6074013541218026	21.25	12.50	1
6234.1	2458114	0.67875	0.6074013541138454	0.6074013541217014	7.50	18.75	1
6234.1	2458114	0.40624	0.6075148631594908	0.6075148631641927	13.75	18.75	1
6234.2	2458114	0.40875	0.6075148631595920	0.6075148631643229	20.00	10.00	1
6234.1	2458114	1.20625	0.6078338861518663	0.6078338861658276	16.25	18.75	1
6234.2	2458114	1.20750	0.6078338861519820	0.6078338861659577	21.26	10.00	1
6234.1	2458114	1.18376	0.6078338861521266	0.6078338861658276	7.50	18.75	1
6234.1	2458114	4.86749	0.6086589213782553	0.6086589214345920	17.50	15.00	1
6234.2	2458114	4.86625	0.6086589213783999	0.6086589214347222	18.74	16.25	1
6234.1	2458114	4.84250	0.6086589213785445	0.6086589214345920	6.25	15.00	1
6234.1	2458114	0.96875	0.6087423868411458	0.6087423868523582	15.00	11.25	1
6234.2	2458114	0.97000	0.6087423868411748	0.6087423868524016	27.49	11.25	1
6234.1	2458114	5.14750	0.6101978178384260	0.6101978178980035	22.49	12.50	1
6234.2	2458114	5.15000	0.6101978178384982	0.6101978178981047	20.00	8.76	1
6234.1	2458114	0.46000	0.6103797234439380	0.6103797234492621	18.75	17.51	1
6234.2	2458114	0.45874	0.6103797234440393	0.6103797234493489	13.75	13.76	1
6234.1	2458114	0.34500	0.6111379304502604	0.6111379304542535	14.99	20.00	1
6234.2	2458114	0.34750	0.6111379304503906	0.6111379304544126	20.00	8.75	1
6234.1	2458114	0.32250	0.6111379304505208	0.6111379304542535	7.50	20.00	1
6234.1	2458114	4.58374	0.6112586676509404	0.6112586677039930	22.49	6.25	1
